time_limit;default;radius;in_range;random
157307.86963543677;58;233;33;121
157660.5778633189;58;234;33;121
158013.28609120104;58;235;33;121
158365.9943190832;58;236;33;121
158718.70254696533;58;237;33;121
159071.4107748475;58;238;33;121
159424.11900272963;58;239;33;121
159776.8272306118;58;240;33;121
160129.53545849392;58;241;33;121
160482.24368637605;58;242;33;121
160834.9519142582;58;243;33;121
161187.66014214035;58;244;33;121
161540.3683700225;58;245;33;121
161893.07659790464;58;246;33;121
162245.7848257868;58;247;33;121
162598.49305366894;58;248;33;121
162951.20128155107;58;249;33;121
163303.90950943323;58;250;33;121
163656.61773731536;58;251;33;121
164009.32596519752;58;252;33;121
164362.03419307966;58;253;33;121
164714.74242096182;58;254;33;121
165067.45064884395;58;255;33;121
165420.15887672608;58;256;33;121
165772.86710460825;58;257;33;121
166125.57533249038;58;258;33;121
166478.28356037254;58;259;33;121
166830.99178825467;58;260;33;121
167183.70001613683;58;261;33;121
167536.40824401897;58;262;33;121
167889.1164719011;58;263;33;121
168241.82469978326;58;264;33;121
168594.5329276654;58;265;33;121
168947.24115554756;58;266;33;121
169299.9493834297;58;267;33;121
169652.65761131185;58;268;33;121
170005.36583919398;58;269;33;121
170358.07406707612;58;270;33;121
170710.78229495828;58;271;33;121
171063.4905228404;58;272;33;121
171416.19875072257;58;273;33;121
171768.9069786047;58;274;33;121
172121.61520648687;58;275;33;121
172474.323434369;58;276;33;121
172827.03166225116;58;277;33;121
173179.7398901333;58;278;33;121
173532.44811801543;58;279;33;121
173885.1563458976;58;280;33;121
174237.86457377972;58;281;33;121
174590.57280166188;58;282;33;121
174943.281029544;58;283;33;121
175295.98925742618;58;284;33;121
175648.6974853083;58;285;33;121
176001.40571319044;58;286;33;121
176354.1139410726;58;287;33;121
