time_limit;default;radius;in_range;random;lp_solution
12498.34063293578;87493.35540247573;71276.45412464523;78118.8429241638;71276.45412464523;191027.68289418097
12901.51291141758;84452.29371380081;71276.45412464523;78118.8429241638;71276.45412464523;178530.42731820076
13304.68518989938;84452.29371380081;71276.45412464523;78118.8429241638;71276.45412464523;162822.46405025182
13707.857468381178;84452.29371380081;71276.45412464523;78118.8429241638;71276.45412464523;162822.46405025182
14111.029746862978;77609.90491428225;71276.45412464523;71276.45412464523;71276.45412464523;152939.0135620583
14514.202025344777;77609.90491428225;71276.45412464523;71276.45412464523;71276.45412464523;152939.0135620583
14917.374303826577;77609.90491428225;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
15320.546582308376;77609.90491428225;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
15723.718860790175;77609.90491428225;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
16126.891139271975;77609.90491428225;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
16530.063417753772;77609.90491428225;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
16933.235696235573;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
17336.407974717375;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
17739.580253199172;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
18142.75253168097;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
18545.92481016277;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
18949.097088644572;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
19352.26936712637;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;152939.0135620583
19755.441645608167;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;137231.05029410936
20158.61392408997;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;137231.05029410936
20561.78620257177;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;137231.05029410936
20964.958481053567;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;137231.05029410936
21368.130759535365;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;137231.05029410936
21771.303038017166;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;134189.98860543442
22174.475316498967;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;134189.98860543442
22577.647594980765;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;134189.98860543442
